D:/GIT/Code_Database/Multi_Python/stc_1000mb/stc_1000mb-0004-txstreamresults.csv for periodic results

================== Periodic Results: TxStreamResults Record #1
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",526474,84459,86486360,526474,623345216,99999851,539109376,
txstreamresults2,"",port2,"Port //2/2",564400,84460,86486464,564400,668249600,99999975,577945600,
txstreamresults3,"",port3,"Port //2/3",527036,84459,86486528,527036,624010624,100000048,539684864,
txstreamresults4,"",port4,"Port //2/4",564287,84459,86486448,564287,668115808,99999958,577829888,
txstreamresults5,"",port5,"Port //2/5",558661,84460,86486592,558661,661454624,100000123,572068864,
txstreamresults6,"",port6,"Port //2/6",595037,84459,86486528,595037,704523808,100000050,609317888,

================== Periodic Results: TxStreamResults Record #9
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",610934,84459,86486496,610934,723345856,100000011,625596416,
txstreamresults2,"",port2,"Port //2/2",648844,84460,86486400,648844,768231296,99999900,664416256,
txstreamresults3,"",port3,"Port //2/3",611499,84459,86486488,611499,724014816,100000000,626174976,
txstreamresults4,"",port4,"Port //2/4",648752,84460,86486576,648752,768122368,100000104,664322048,
txstreamresults5,"",port5,"Port //2/5",643112,84459,86486400,643112,761444608,99999897,658546688,
txstreamresults6,"",port6,"Port //2/6",679520,84460,86486592,679520,804551680,100000118,695828480,

================== Periodic Results: TxStreamResults Record #10
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",695393,84459,86486400,695393,823345312,99999905,712082432,
txstreamresults2,"",port2,"Port //2/2",733316,84460,86486480,733316,868246144,99999990,750915584,
txstreamresults3,"",port3,"Port //2/3",695959,84459,86486416,695959,824015456,99999916,712662016,
txstreamresults4,"",port4,"Port //2/4",733207,84460,86486576,733207,868117088,100000107,750803968,
txstreamresults5,"",port5,"Port //2/5",727573,84460,86486592,727573,861446432,100000124,745034752,
txstreamresults6,"",port6,"Port //2/6",763955,84460,86486488,763955,904522720,99999996,782289920,

================== Periodic Results: TxStreamResults Record #11
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",779853,84459,86486464,779853,923345952,99999973,798569472,
txstreamresults2,"",port2,"Port //2/2",817763,84460,86486616,817763,968231392,100000149,837389312,
txstreamresults3,"",port3,"Port //2/3",780429,84459,86486600,780429,924027936,100000130,799159296,
txstreamresults4,"",port4,"Port //2/4",817670,84459,86486472,817670,968121280,99999986,837294080,
txstreamresults5,"",port5,"Port //2/5",812032,84459,86486528,812032,961445888,100000043,831520768,
txstreamresults6,"",port6,"Port //2/6",848422,84460,86486528,848422,1004531648,100000048,868784128,

================== Periodic Results: TxStreamResults Record #12
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",864312,84459,86486440,864312,1023345408,99999945,885055488,
txstreamresults2,"",port2,"Port //2/2",902238,84460,86486504,902238,1068249792,100000017,923891712,
txstreamresults3,"",port3,"Port //2/3",864878,84459,86486408,864878,1024015552,99999909,885635072,
txstreamresults4,"",port4,"Port //2/4",902131,84459,86486496,902131,1068123104,100000013,923782144,
txstreamresults5,"",port5,"Port //2/5",896491,84459,86486344,896491,1061445344,99999832,918006784,
txstreamresults6,"",port6,"Port //2/6",932874,84460,86486432,932874,1104522816,99999935,955262976,

================== Periodic Results: TxStreamResults Record #13
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",1000000,84460,86486640,1000000,1184000000,100000175,1024000000,
txstreamresults2,"",port2,"Port //2/2",1000000,84459,86486320,1000000,1184000000,99999803,1024000000,
txstreamresults3,"",port3,"Port //2/3",1000000,84459,86486432,1000000,1184000000,99999936,1024000000,
txstreamresults4,"",port4,"Port //2/4",1000000,84459,86486568,1000000,1184000000,100000093,1024000000,
txstreamresults5,"",port5,"Port //2/5",1000000,84459,86486480,1000000,1184000000,99999991,1024000000,
txstreamresults6,"",port6,"Port //2/6",1000000,80815,82753904,1000000,1184000000,95684197,1024000000,
