Device Fuse Register Read,
Sl.no,REG ADDR,REG VAL
Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.98,1.108,440.0,397.98,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,2.61,3.292,859.28,261.004,ade8
0x44,01df,5.9,1.108,653.4,590.04,9174
0x45,01df,0.11,2.512,28.6,11.0,9174
0x47,01df,0.67,3.28,237.36,66.976,ade8

Total Power,,,,2330.84

Test Condition,,Description,FA01

Register,Address,Value
Res_Req Reg,FA01,0x0000

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.98,1.108,440.0,397.98,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,2.61,3.296,859.28,261.004,ade8
0x44,01df,5.91,1.104,655.6,591.03,9174
0x45,01df,0.11,2.512,28.6,11.0,9174
0x47,01df,0.61,3.28,222.64,60.996,ade8

Total Power,,,,2318.32

Test Condition,,Description,D009

Register,Address,Value
Res_Req Reg,D009,0x0000

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.98,1.108,440.0,397.98,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,2.61,3.292,859.28,261.004,ade8
0x44,01df,5.91,1.104,653.4,591.03,9174
0x45,01df,0.11,2.512,24.2,10.01,9174
0x47,01df,0.68,3.28,222.64,62.008,ade8

Total Power,,,,2311.72

Test Condition,,Description,FA01

Register,Address,Value
Res_Req Reg,FA01,0x0000

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.99,1.108,444.4,398.97,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,2.61,3.292,859.28,261.004,ade8
0x44,01df,5.91,1.104,655.6,591.03,9174
0x45,01df,0.11,2.508,28.6,11.0,9174
0x47,01df,0.61,3.28,217.12,64.032,ade8

Total Power,,,,2317.2

Test Condition,,Description,FA01

Register,Address,Value
Res_Req Reg,FA01,0x0000

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,2.43,1.112,270.6,242.0,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,1.5,3.296,494.96,149.96,ade8
0x44,01df,3.99,1.108,444.4,398.97,9174
0x45,01df,0.11,2.512,24.2,10.01,9174
0x47,01df,0.6,3.28,180.32,60.996,ade8

Total Power,,,,1526.68

Test Condition,,Description,FA01

Register,Address,Value
Res_Req Reg,FA01,0x0000

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.69,1.112,74.8,68.97,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,2.03,1.112,226.6,202.95,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.43,3.28,147.2,42.044,ade8

Total Power,,,,722.6

Test Condition,,Description,FA01

Register,Address,Value
Res_Req Reg,FA01,0x0000

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.39,1.108,44.0,39.05,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,1.82,1.112,202.4,182.05,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.37,3.28,121.44,37.996,ade8

Total Power,,,,641.84

Test Condition,,Description,FA01

Register,Address,Value
Res_Req Reg,FA01,0x0000

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.26,1.108,28.6,25.96,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,0.39,3.296,128.8,37.996,ade8
0x44,01df,1.62,1.112,180.4,162.03,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.37,3.28,121.44,35.972,ade8

Total Power,,,,604.44

Test Condition,,Description,F980

Register,Address,Value
Res_Req Reg,F980,0x0000

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.26,1.112,28.6,25.96,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.35,3.296,114.08,34.96,ade8
0x44,01df,1.59,1.112,176.0,158.95,9174
0x45,01df,0.07,2.508,17.6,7.04,9174
0x47,01df,0.38,3.28,121.44,37.996,ade8

Total Power,,,,569.92

