ETC Registers

Sl.no,Register Address,Value
363,f16a,0002
364,f16b,0000
365,f16c,0000
366,f16d,0000
367,f16e,0000
368,f16f,0000
369,f170,0040
370,f171,0000
371,f172,0002
372,f173,0000
373,f174,0000
374,f175,0000
375,f176,0000
376,f177,0000
377,f178,0040
378,f179,0000
379,f17a,0002
380,f17b,0000
381,f17c,0000
382,f17d,0000
383,f17e,0000
384,f17f,0000
385,f180,0000
386,f181,0000
387,f182,0000
388,f183,0000
389,f184,0000
390,f185,0000
391,f186,0000
392,f187,0000
393,f188,0000
394,f189,0000
395,f18a,0000
396,f18b,0000
397,f18c,0000
398,f18d,0000
399,f18e,0000
400,f18f,0000
401,f190,0000
402,f191,0000
403,f192,0000
404,f193,0000
405,f194,0000
406,f195,0000
407,f196,0000
408,f197,0000
409,f198,0000
410,f199,0000
411,f19a,0000
412,f19b,0000
413,f19c,0000
414,f19d,0000
415,f19e,0000
416,f19f,0000
417,f1a0,0000
418,f1a1,0000
419,f1a2,0000
420,f1a3,0000
421,f1a4,0000
422,f1a5,0000
423,f1a6,0000
424,f1a7,0000
425,f1a8,0000
426,f1a9,0000
427,f1aa,0000
428,f1ab,0000
429,f1ac,0000
430,f1ad,0000
431,f1ae,0000
432,f1af,0000
433,f1b0,0000
434,f1b1,0000
435,f1b2,0000
436,f1b3,0000
437,f1b4,0000
438,f1b5,0000
439,f1b6,0000
440,f1b7,0000
441,f1b8,0000
442,f1b9,0000
443,f1ba,0000
444,f1bb,0000
445,f1bc,0000
446,f1bd,0000
447,f1be,0000
448,f1bf,0000
449,f1c0,0000
450,f1c1,0000
451,f1c2,0000
452,f1c3,0000
453,f1c4,0000
454,f1c5,0000
455,f1c6,0000
456,f1c7,0000
457,f1c8,0000
458,f1c9,0000
459,f1ca,0000
460,f1cb,0000
461,f1cc,0000
462,f1cd,0000
463,f1ce,0000
464,f1cf,0000
465,f1d0,0000
466,f1d1,0000
467,f1d2,0000
468,f1d3,0000
469,f1d4,0000
470,f1d5,0000
471,f1d6,0000
472,f1d7,0000
473,f1d8,0000
474,f1d9,0000
475,f1da,0000
476,f1db,0000
477,f1dc,0000
478,f1dd,0000
479,f1de,0000
480,f1df,0000
481,f1e0,0000
482,f1e1,0000
483,f1e2,0000
484,f1e3,0000
485,f1e4,0000
486,f1e5,0000
487,f1e6,0000
488,f1e7,0000
489,f1e8,0000
490,f1e9,0000
491,f1ea,0000
492,f1eb,0000
493,f1ec,0000
494,f1ed,0000
495,f1ee,0000
496,f1ef,0000
497,f1f0,0000
498,f1f1,0000
499,f1f2,0000
500,f1f3,0000
501,f1f4,0000
502,f1f5,0000
503,f1f6,0000
504,f1f7,0000
505,f1f8,0000
506,f1f9,0000
507,f1fa,0000
508,f1fb,0000
509,f1fc,0000
510,f1fd,0000
511,f1fe,0000
512,f1ff,0000
513,f200,0000
514,f201,0000
515,f202,0000
516,f203,0000
517,f204,0000
518,f205,0000
519,f206,0000
520,f207,0000
521,f208,0000
522,f209,0000
523,f20a,0000
524,f20b,0000
525,f20c,0000
526,f20d,0000
527,f20e,0000
528,f20f,0000
529,f210,0000
530,f211,0000
531,f212,0000
532,f213,0000
533,f214,0000
534,f215,0000
535,f216,0000
536,f217,0000
537,f218,0000
538,f219,0000
539,f21a,0000
540,f21b,0000
541,f21c,0000
542,f21d,0000
543,f21e,0000
544,f21f,0000
545,f220,0000
546,f221,0000
547,f222,0000
548,f223,0000
549,f224,0000
550,f225,0000
551,f226,0000
552,f227,0000
553,f228,0000
554,f229,0000
555,f22a,0000
556,f22b,0000
557,f22c,0000
558,f22d,0000
559,f22e,0000
560,f22f,0000
561,f230,0000
562,f231,0000
563,f232,0000
564,f233,0000
565,f234,0000
566,f235,0000
567,f236,0000
568,f237,0000
569,f238,0000
570,f239,0000
571,f23a,0000
572,f23b,0000
573,f23c,0000
574,f23d,0000
575,f23e,0000
576,f23f,0000
577,f240,0000
578,f241,0000
579,f242,0000
580,f243,0000
581,f244,0000
582,f245,0000
583,f246,0000
584,f247,0000
585,f248,0000
586,f249,0000
587,f24a,0000
588,f24b,0000
589,f24c,0000
590,f24d,0000
591,f24e,0000
592,f24f,0000
593,f250,0000
594,f251,0000
595,f252,0000
596,f253,0000
597,f254,0000
598,f255,0000
599,f256,0000
600,f257,0000
601,f258,0000
602,f259,0000
603,f25a,0000
604,f25b,0000
605,f25c,0000
606,f25d,0000
607,f25e,0000
608,f25f,0000
609,f260,0000
610,f261,0000
611,f262,0000
612,f263,0000
613,f264,0000
614,f265,0000
615,f266,0000
616,f267,0000
617,f268,0000
618,f269,0000
619,f26a,0000
620,f26b,0000
621,f26c,0000
622,f26d,0000
623,f26e,0000
624,f26f,0000
625,f270,0000
626,f271,0000
627,f272,0000
628,f273,0000
629,f274,0000
630,f275,0000
631,f276,0000
632,f277,0000
633,f278,0000
634,f279,0000
635,f27a,0000
636,f27b,0000
637,f27c,0000
638,f27d,0000
639,f27e,0000
640,f27f,0000
641,f280,0000
642,f281,0000
643,f282,0000
644,f283,0000
645,f284,0000
646,f285,0000
647,f286,0000
648,f287,0000
649,f288,0000
650,f289,0000
651,f28a,0000
652,f28b,0000
653,f28c,0000
654,f28d,0000
655,f28e,0000
656,f28f,0000
657,f290,0000
658,f291,0000
659,f292,0000
660,f293,0000
661,f294,0000
662,f295,0000
663,f296,0000
664,f297,0000
665,f298,0000
666,f299,0000
667,f29a,0000
668,f29b,0000
669,f29c,0000
670,f29d,0000
671,f29e,0000
672,f29f,0000
673,f2a0,0000
674,f2a1,0000
675,f2a2,0000
676,f2a3,0000
677,f2a4,0000
678,f2a5,0000
679,f2a6,0000
680,f2a7,0000
681,f2a8,0000
682,f2a9,0000
683,f2aa,0000
684,f2ab,0000
685,f2ac,0000
686,f2ad,0000
687,f2ae,0000
688,f2af,0000
689,f2b0,0000
690,f2b1,0000
691,f2b2,0000
692,f2b3,0000
693,f2b4,0000
694,f2b5,0000
695,f2b6,0000
696,f2b7,0000
697,f2b8,0000
698,f2b9,0000
699,f2ba,0000
700,f2bb,0000
701,f2bc,0000
702,f2bd,0000
703,f2be,0000
704,f2bf,0000
705,f2c0,0000
706,f2c1,0000
707,f2c2,0000
708,f2c3,0000
709,f2c4,0000
710,f2c5,0000
711,f2c6,0000
712,f2c7,0000
713,f2c8,0000
714,f2c9,0000
715,f2ca,0000
716,f2cb,0000
717,f2cc,0000
718,f2cd,0000
719,f2ce,0000
720,f2cf,0000
721,f2d0,0000
722,f2d1,0000
723,f2d2,0000
724,f2d3,0000
725,f2d4,0000
726,f2d5,0000
727,f2d6,0000
728,f2d7,0000
729,f2d8,0000
730,f2d9,0000
731,f2da,0000
732,f2db,0000
733,f2dc,0000
734,f2dd,0000
735,f2de,0000
736,f2df,0000
737,f2e0,0000
738,f2e1,0000
739,f2e2,0000
740,f2e3,0000
741,f2e4,0000
742,f2e5,0000
743,f2e6,0000
744,f2e7,0000
745,f2e8,0000
746,f2e9,0000
747,f2ea,0000
748,f2eb,0000
749,f2ec,0000
750,f2ed,0000
751,f2ee,0000
752,f2ef,0000
753,f2f0,0000
754,f2f1,0000
755,f2f2,0000
756,f2f3,0000
757,f2f4,0000
758,f2f5,0000
759,f2f6,0000
760,f2f7,0000
761,f2f8,0000
762,f2f9,0000
763,f2fa,0000
764,f2fb,0000
765,f2fc,0000
766,f2fd,0000
767,f2fe,0000
768,f2ff,0000
769,f300,0000
770,f301,0000
771,f302,0000
772,f303,0000
773,f304,0000
774,f305,0000
775,f306,0000
776,f307,0000
777,f308,0000
778,f309,0000
779,f30a,0000
780,f30b,0000
781,f30c,0000
782,f30d,0000
783,f30e,0000
784,f30f,0000
785,f310,0000
786,f311,0000
787,f312,0000
788,f313,0000
789,f314,0000
790,f315,0000
791,f316,0000
792,f317,0000
793,f318,0000
794,f319,0000
795,f31a,0000
796,f31b,0000
797,f31c,0000
798,f31d,0000
799,f31e,0000
800,f31f,0000
801,f320,0000
802,f321,0000
803,f322,0000
804,f323,0000
805,f324,0000
806,f325,0000
807,f326,0000
808,f327,0000
809,f328,0000
810,f329,0000
811,f32a,0000
812,f32b,0000
813,f32c,0000
814,f32d,0000
815,f32e,0000
816,f32f,0000
817,f330,0000
818,f331,0000
819,f332,0000
820,f333,0000
821,f334,0000
822,f335,0000
823,f336,0000
824,f337,0000
825,f338,0000
826,f339,0000
827,f33a,0000
828,f33b,0000
829,f33c,0000
830,f33d,0000
831,f33e,0000
832,f33f,0000
833,f340,0000
834,f341,0000
835,f342,0000
836,f343,0000
837,f344,0000
838,f345,0000
839,f346,0000
840,f347,0000
841,f348,0000
842,f349,0000
843,f34a,0000
844,f34b,0000
845,f34c,0000
846,f34d,0000
847,f34e,0000
848,f34f,0000
849,f350,0000
850,f351,0000
851,f352,0000
852,f353,0000
853,f354,0000
854,f355,0000
855,f356,0000
856,f357,0000
857,f358,0000
858,f359,0000
859,f35a,0000
860,f35b,0000
861,f35c,0000
862,f35d,0000
863,f35e,0000
864,f35f,0000
865,f360,0000
866,f361,0000
867,f362,0000
868,f363,0000
869,f364,0000
870,f365,0000
871,f366,0000
872,f367,0000
873,f368,0000
874,f369,0000
875,f36a,0000
876,f36b,0000
877,f36c,0000
878,f36d,0000
879,f36e,0000
880,f36f,0000
881,f370,0000
882,f371,0000
883,f372,0000
884,f373,0000
885,f374,0000
886,f375,0000
887,f376,0000
888,f377,0000
889,f378,0000
890,f379,0000
891,f37a,0000
892,f37b,0000
893,f37c,0000
894,f37d,0000
895,f37e,0000
896,f37f,0000
897,f380,0020
898,f381,0e7f
899,f382,0000
900,f383,03f0
901,f384,003c
902,f385,3fff
903,f386,3fff
904,f387,3fcf
905,f388,0000
906,f389,0000
907,f38a,0000
908,f38b,0000
909,f38c,0000
910,f38d,0000
