ETC Registers

Sl.no,Register Address,Value
362,d169,0000
363,d16a,0000
364,d16b,0000
365,d16c,0000
366,d16d,0000
367,d16e,0000
368,d16f,0000
369,d170,0000
370,d171,0000
371,d172,0000
372,d173,0000
373,d174,0000
374,d175,0000
375,d176,0000
376,d177,0000
377,d178,0000
378,d179,0000
379,d17a,0000
380,d17b,0000
381,d17c,0000
382,d17d,0000
383,d17e,0000
384,d17f,0000
385,d180,0000
386,d181,0000
387,d182,0000
388,d183,0000
389,d184,0000
390,d185,0000
391,d186,0000
392,d187,0000
393,d188,0000
394,d189,0000
395,d18a,0000
396,d18b,0000
397,d18c,0000
398,d18d,0000
399,d18e,0000
400,d18f,0000
401,d190,0000
402,d191,0000
403,d192,0000
404,d193,0000
405,d194,0000
406,d195,0000
407,d196,0000
408,d197,0000
409,d198,0000
410,d199,0000
411,d19a,0000
412,d19b,0000
413,d19c,0000
414,d19d,0000
415,d19e,0000
416,d19f,0000
417,d1a0,0000
418,d1a1,0000
419,d1a2,0000
420,d1a3,0000
421,d1a4,0000
422,d1a5,0000
423,d1a6,0000
424,d1a7,0000
425,d1a8,0000
426,d1a9,0000
427,d1aa,0000
428,d1ab,0000
429,d1ac,0000
430,d1ad,0000
431,d1ae,0000
432,d1af,0000
433,d1b0,0000
434,d1b1,0000
435,d1b2,0000
436,d1b3,0000
437,d1b4,0000
438,d1b5,0000
439,d1b6,0000
440,d1b7,0000
441,d1b8,0000
442,d1b9,0000
443,d1ba,0000
444,d1bb,0000
445,d1bc,0000
446,d1bd,0000
447,d1be,0000
448,d1bf,0000
449,d1c0,0000
450,d1c1,0000
451,d1c2,0000
452,d1c3,0000
453,d1c4,0000
454,d1c5,0000
455,d1c6,0000
456,d1c7,0000
457,d1c8,0000
458,d1c9,0000
459,d1ca,0000
460,d1cb,0000
461,d1cc,0000
462,d1cd,0000
463,d1ce,0000
464,d1cf,0000
465,d1d0,0000
466,d1d1,0000
467,d1d2,0000
468,d1d3,0000
469,d1d4,0000
470,d1d5,0000
471,d1d6,0000
472,d1d7,0000
473,d1d8,0000
474,d1d9,0000
475,d1da,0000
476,d1db,0000
477,d1dc,0000
478,d1dd,0000
479,d1de,0000
480,d1df,0000
481,d1e0,0000
482,d1e1,0000
483,d1e2,0000
484,d1e3,0000
485,d1e4,0000
486,d1e5,0000
487,d1e6,0000
488,d1e7,0000
489,d1e8,0000
490,d1e9,0000
491,d1ea,0000
492,d1eb,0000
493,d1ec,0000
494,d1ed,0000
495,d1ee,0000
496,d1ef,0000
497,d1f0,0000
498,d1f1,0000
499,d1f2,0000
500,d1f3,0000
501,d1f4,0000
502,d1f5,0000
503,d1f6,0000
504,d1f7,0000
505,d1f8,0000
506,d1f9,0000
507,d1fa,0000
508,d1fb,0000
509,d1fc,0000
510,d1fd,0000
511,d1fe,0000
512,d1ff,0000
513,d200,0003
514,d201,020c
515,d202,0000
516,d203,0000
517,d204,0000
518,d205,0000
519,d206,0000
520,d207,0000
521,d208,0000
522,d209,0000
523,d20a,0000
524,d20b,0000
525,d20c,0000
526,d20d,0000
527,d20e,0000
528,d20f,1111
529,d210,0000
530,d211,0000
531,d212,0000
532,d213,0000
533,d214,0000
534,d215,0000
535,d216,0000
536,d217,0000
537,d218,0000
538,d219,0000
539,d21a,0000
540,d21b,0000
541,d21c,0000
542,d21d,0000
543,d21e,0000
544,d21f,0000
545,d220,0000
546,d221,0000
547,d222,0000
548,d223,0000
549,d224,0000
550,d225,0000
551,d226,0000
552,d227,0000
553,d228,0000
554,d229,0000
555,d22a,0000
556,d22b,0000
557,d22c,0000
558,d22d,0000
559,d22e,0000
560,d22f,0000
561,d230,0000
562,d231,0000
563,d232,0000
564,d233,0000
565,d234,0000
566,d235,0000
567,d236,0000
568,d237,0000
569,d238,0000
570,d239,0000
571,d23a,0000
572,d23b,0000
573,d23c,0000
574,d23d,0000
575,d23e,0000
576,d23f,0000
577,d240,0000
578,d241,0000
579,d242,0000
580,d243,0000
581,d244,0000
582,d245,0000
583,d246,0000
584,d247,0000
585,d248,0000
586,d249,0000
587,d24a,0000
588,d24b,0000
589,d24c,0000
590,d24d,0000
591,d24e,0000
592,d24f,0000
593,d250,0000
594,d251,0000
595,d252,0000
596,d253,0000
597,d254,0000
598,d255,0000
599,d256,0000
600,d257,0000
601,d258,0000
602,d259,0000
603,d25a,0000
604,d25b,0000
605,d25c,0000
606,d25d,0000
607,d25e,0000
608,d25f,0000
609,d260,0000
610,d261,0000
611,d262,0000
612,d263,0000
613,d264,0000
614,d265,0000
615,d266,0000
616,d267,0000
617,d268,0000
