Device Fuse Register Read,
FW Version,0000
Sl.no,REG ADDR,REG VAL
Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.09,1.112,11.0,8.03,9174
0x41,01df,0.46,2.496,114.4,45.98,9174
0x43,01df,0.33,3.296,108.56,33.028,ade8
0x44,01df,0.17,1.108,17.6,17.05,9174
0x45,01df,0.07,2.5,17.6,7.04,9174
0x47,01df,0.19,3.308,69.92,19.044,ade8
Total Power,,,,339.08

Test Condition,"Power Measurement - GPHY0,GPHY1,GPHY2 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x0037

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.09,1.112,11.0,9.02,9174
0x41,01df,0.46,2.496,114.4,45.98,9174
0x43,01df,0.33,3.3,108.56,33.028,ade8
0x44,01df,0.17,1.104,17.6,17.05,9174
0x45,01df,0.07,2.5,17.6,7.04,9174
0x47,01df,0.2,3.312,69.92,19.044,ade8
Total Power,,,,339.08

Test Condition,"Power Measurement - GPHY0,GPHY1,GPHY2,GPHY3 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x003F

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.09,1.112,6.6,8.03,9174
0x41,01df,0.46,2.496,114.4,45.98,9174
0x43,01df,0.33,3.296,108.56,33.028,ade8
0x44,01df,0.17,1.104,17.6,17.05,9174
0x45,01df,0.07,2.5,17.6,7.04,9174
0x47,01df,0.19,3.308,62.56,20.976,ade8
Total Power,,,,327.32

Test Condition,Power Measurement - ROPLL Disabled
Register,Address,Value
Res_Req Reg,F980,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.09,1.112,11.0,8.03,9174
0x41,01df,0.46,2.496,118.8,45.98,9174
0x43,01df,0.33,3.296,108.56,34.04,ade8
0x44,01df,0.17,1.104,17.6,17.05,9174
0x45,01df,0.07,2.5,22.0,7.04,9174
0x47,01df,0.21,3.308,69.92,20.976,ade8
Total Power,,,,347.88

Test Condition,Power Measurement - CDB Disabled
Register,Address,Value
