D:/ETC/Reliability Test/source_code/stc_10mb/stc_10mb-0004-txstreamresults.csv for periodic results

================== Periodic Results: TxStreamResults Record #1
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults4,"",port4,"Port //2/4",5747,845,864872,5747,6804448,1000004,5884928,
txstreamresults5,"",port5,"Port //2/5",5956,844,864680,5956,7051904,999784,6098944,
txstreamresults6,"",port6,"Port //2/6",5484,845,864872,5484,6493056,1000008,5615616,

================== Periodic Results: TxStreamResults Record #9
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",6852,844,864760,6852,8112768,999878,7016448,
txstreamresults2,"",port2,"Port //2/2",6375,845,864872,6375,7548000,1000011,6528000,
txstreamresults3,"",port3,"Port //2/3",6227,845,864872,6227,7372768,1000007,6376448,
txstreamresults4,"",port4,"Port //2/4",6591,845,864880,6591,7803744,1000013,6749184,
txstreamresults5,"",port5,"Port //2/5",6800,845,864808,6800,8051200,999930,6963200,
txstreamresults6,"",port6,"Port //2/6",6329,845,864872,6329,7493536,1000009,6480896,

================== Periodic Results: TxStreamResults Record #10
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",7690,845,864864,7690,9104960,999997,7874560,
txstreamresults2,"",port2,"Port //2/2",7220,845,864864,7220,8548480,1000002,7393280,
txstreamresults3,"",port3,"Port //2/3",7071,845,864864,7071,8372064,1000004,7240704,
txstreamresults4,"",port4,"Port //2/4",7436,845,864872,7436,8804224,1000008,7614464,
txstreamresults5,"",port5,"Port //2/5",7646,845,864936,7646,9052864,1000081,7829504,
txstreamresults6,"",port6,"Port //2/6",7173,845,864872,7173,8492832,1000012,7345152,

================== Periodic Results: TxStreamResults Record #11
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",8535,845,864816,8535,10105440,999943,8739840,
txstreamresults2,"",port2,"Port //2/2",8064,845,864872,8064,9547776,1000010,8257536,
txstreamresults3,"",port3,"Port //2/3",7916,845,864872,7916,9372544,1000007,8105984,
txstreamresults4,"",port4,"Port //2/4",8281,845,864880,8281,9804704,1000015,8479744,
txstreamresults5,"",port5,"Port //2/5",8490,845,864856,8490,10052160,999991,8693760,
txstreamresults6,"",port6,"Port //2/6",8018,845,864864,8018,9493312,1000001,8210432,

================== Periodic Results: TxStreamResults Record #12
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",9379,845,864992,9379,11104736,1000152,9604096,
txstreamresults2,"",port2,"Port //2/2",8909,845,864864,8909,10548256,1000001,9122816,
txstreamresults3,"",port3,"Port //2/3",8761,845,864872,8761,10373024,1000006,8971264,
txstreamresults4,"",port4,"Port //2/4",9125,845,864864,9125,10804000,1000001,9344000,
txstreamresults5,"",port5,"Port //2/5",9335,845,864880,9335,11052640,1000021,9559040,
txstreamresults6,"",port6,"Port //2/6",8862,844,864680,8862,10492608,999786,9074688,

================== Periodic Results: TxStreamResults Record #13
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",10000,797,816544,10000,11840000,944130,10240000,
txstreamresults2,"",port2,"Port //2/2",10000,845,864872,10000,11840000,1000004,10240000,
txstreamresults3,"",port3,"Port //2/3",10000,845,864872,10000,11840000,1000008,10240000,
txstreamresults4,"",port4,"Port //2/4",10000,845,864872,10000,11840000,1000011,10240000,
txstreamresults5,"",port5,"Port //2/5",10000,806,825472,10000,11840000,954454,10240000,
txstreamresults6,"",port6,"Port //2/6",10000,845,864872,10000,11840000,1000005,10240000,
